User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
root,ASIAYS2NXC2T36F5TF2D,2024-04-16T08:59:42Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,103.157.149.85,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""management-events""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:590184126119:trail/management-events""}]",f4f192b4-f271-413f-a501-e3f6f521872a,37479653-5cf6-47dd-8942-e0215c53c60e,false,AwsApiCall,590184126119,Management
root,ASIAYS2NXC2T36F5TF2D,2024-04-16T08:59:42Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,103.157.149.85,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:590184126119:trail/management-events""}]",5f3487f2-79b3-41e1-be6b-e1095eaaa065,8238995b-8321-487e-befa-a8198be90375,false,AwsApiCall,590184126119,Management
root,ASIAYS2NXC2T36F5TF2D,2024-04-16T08:59:41Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,103.157.149.85,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""management-events""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:590184126119:trail/management-events""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-590184126119-0bd58755""}]",1dc2dc85-ecae-4418-9f27-37b5bbb2bda9,3c6a29a5-9ba3-4300-b415-d942c52eb758,false,AwsApiCall,590184126119,Management
root,ASIAYS2NXC2T36F5TF2D,2024-04-16T08:59:41Z,s3.amazonaws.com,PutBucketEncryption,us-east-1,103.157.149.85,"[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-590184126119-0bd58755""}]",S3P9GWJTYNVF4T11,424392cb-704a-469c-bf2d-6b01d474407c,false,AwsApiCall,590184126119,Management
root,ASIAYS2NXC2T36F5TF2D,2024-04-16T08:59:40Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,103.157.149.85,"[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-590184126119-0bd58755""}]",45SVN1RBCGJAZZ14,286bdc54-08e3-404e-8232-d9fbac71e151,false,AwsApiCall,590184126119,Management
root,ASIAYS2NXC2T36F5TF2D,2024-04-16T08:59:39Z,s3.amazonaws.com,CreateBucket,us-east-1,103.157.149.85,"[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-590184126119-0bd58755""}]",WY6V5M8E5BH53YJA,c8b409dd-d191-46ff-a7e3-7094902c2769,false,AwsApiCall,590184126119,Management
root,ASIAYS2NXC2TYCE6YC7U,2024-04-16T07:17:38Z,iam.amazonaws.com,DetachUserPolicy,us-east-1,103.157.149.85,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""user2""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::590184126119:policy/Denys3""}]",1c40d0ff-dba7-482f-a7a6-3f37779e90a7,d79c2481-4bd1-47cf-8546-bf9130267414,false,AwsApiCall,590184126119,Management
root,,2024-04-16T07:14:13Z,signin.amazonaws.com,ConsoleLogin,us-east-1,103.157.149.85,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",,[],,0a953e60-20f5-44e4-a7c4-51e5271a1820,false,AwsConsoleSignIn,590184126119,Management
user2,ASIAYS2NXC2TYSTAYFOT,2024-04-16T06:56:43Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],a78133c3-554f-4fb1-a768-10e3295550f9,5c10715c-f6ff-4b92-bec7-5c844f9b118b,false,AwsApiCall,590184126119,Management
user2,,2024-04-16T06:56:07Z,signin.amazonaws.com,ConsoleLogin,us-east-1,103.157.149.85,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",,[],,dce38a70-7aab-4e3c-a911-6fb562436c2e,false,AwsConsoleSignIn,590184126119,Management
